Label,channeltitle,viewcount,Weighted Degree
Taylor Swift - cardigan (Traducida al Español / Video Oficial),spooky souls,22140342,81
Castles Crumbling (Taylor’s Version) (From The Vault) (Lyric Video),Taylor Swift,5792736,2768
Taylor Swift - Blank Space | Lirik Terjemahan,Indolirik,26385100,48
Taylor Swift - The Fate of Ophelia (The Chainsmokers Remix) (Visualizer),Taylor Swift,125180,1343
ME! (feat. Brendon Urie of Panic! At The Disco) (Live From The Billboard Music Awards / 2019),Taylor Swift,78381491,1272
Taylor Swift - London Boy (Official Audio),Taylor Swift,42353467,952
Taylor Swift - Begin Again,Taylor Swift,212603848,2204
Taylor Swift - You re Losing Me (From The Vault),Taylor Swift,33749484,2298
Taylor Swift - Blank Space (Lyrics),Deep Ocean,19113457,175
Taylor Swift - Lover,LatinHype,20388235,288
Never been accused of not keeping it 💯,Taylor Swift,481789642,110
Taylor Swift - Mine,Taylor Swift,327908622,2730
Taylor Swift - Our Song,Taylor Swift,226840935,2135
Taylor Swift - Back To December (Taylor s Version) (Lyric Video),Taylor Swift,45528627,2811
Taylor Swift - Paper Rings (Lyric Video),Lyrics by Madison,12712540,550
Taylor Swift - the 1 (Official Lyric Video),Taylor Swift,64097356,2350
Taylor Swift - Red (Taylor s Version) (Lyric Video),Taylor Swift,62792254,2618
Taylor Swift - Elizabeth Taylor (Lyric Video),Taylor Swift,11657686,2111
Taylor Swift - Fearless (Taylor s Version) (Lyrics),Hade Music,9290628,397
Taylor Swift - Blank Space (Taylor s Version) (Lyric Video),Taylor Swift,24191754,1955
Taylor Swift - Midnight Rain (Official Lyric Video),Taylor Swift,58812041,3185
Taylor Swift – invisible string (Official Lyric Video),Taylor Swift,32127803,3065
Taylor Swift - Mr. Perfectly Fine (Taylor’s Version) (From The Vault) (Lyric Video),Taylor Swift,49413380,2200
Taylor Swift - imgonnagetyouback (Official Lyric Video),Taylor Swift,14202556,3225
Taylor Swift - Sparks Fly (Taylor s Version) (Lyric Video),Taylor Swift,18779201,3147
Taylor Swift – mirrorball (Official Lyric Video),Taylor Swift,31179852,2721
Taylor Swift - ‘tis the damn season (Official Lyric Video),Taylor Swift,17564421,3125
Taylor Swift & Brittany Mahomes hug Travis kelce in the locker room after Chiefs  loss to Cowboys,Kelce Family,4118,1
Taylor Swift - Who’s Afraid of Little Old Me? (Official Lyric Video),Taylor Swift,30593058,2699
Taylor Swift - Bejeweled (Lyric Video),Taylor Swift,23175867,3026
Taylor Swift - The Man (Lyric Video),Taylor Swift,34532780,1584
